StopID;StopArea;SiteID;Name;Long;Lat;Zone;Type;GTFS ID;GTFS Name;GTFS Long;GTFS Lat;Dist
13035;13035;13036;Söråkersvägen;59,270194483;18,0584055306;A2;BUSTERM;7451223;Söråkersvägen;59,2702266299;18,0586183761;0,0117190046
13038;13037;13038;Bandhagen;59,2706728985;18,0478587266;A2;BUSTERM;7421711;Bandhagen T-bana;59,2704022425;18,0494901674;0,0906156255
13039;13039;13040;Årdalahöjden;59,2698775153;18,0387545245;A2;BUSTERM;7451231;Årdalahöjden;59,2699438177;18,0385485642;0,0113810035
13042;13041;13042;Aspövägen;59,2752720807;18,0331248101;A2;BUSTERM;7451233;Aspövägen (på Årdalavägen);59,2752068001;18,0332611173;0,0075484622
13044;13043;13044;Ludgovägen;59,2767238251;18,0296227118;A2;BUSTERM;7451234;Ludgovägen;59,2768657529;18,0297199067;0,0055894519
13046;13045;13046;Örby skola;59,2751633954;18,0268716459;A2;BUSTERM;7451237;Örby skola;59,2753570515;18,0270950101;0,012738816
13048;13047;13048;Jädersvägen;59,2743055306;18,0234647473;A2;BUSTERM;7451239;Jädersvägen;59,274359854;18,0234333997;0,0017598272
13050;13049;13050;Turingevägen;59,2734601496;18,0203746305;A2;BUSTERM;7451240;Turingevägen;59,2734959363;18,0203771636;0,000154813
13053;13053;13054;Västertorps skola;59,2903800034;17,968973579;A2;BUSTERM;7445514;Västertorp skola;59,290370649;17,9689907472;0,0009453075
13055;13055;13056;Kämpetorpsskolan;59,2842095358;17,9937831484;A2;BUSTERM;7451241;Kämpetorpsskolan;59,2838125352;17,9944247555;0,0371954628
13058;13057;13058;Nippervägen;59,2851412691;17,9928425944;A2;BUSTERM;7451242;Nippervägen;59,2852695433;17,9932195856;0,0209336113
13059;13059;13060;Hökmossens gård;59,2889242795;17,9932257358;A2;BUSTERM;7451243;Hökmossens gård;59,2889708039;17,9931236186;0,0056426366
13062;13061;13062;Örbyleden;59,2686862887;18,0547449197;A2;BUSTERM;7451244;Örbyleden;59,2687752873;18,0547860807;0,002359694
13068;13067;13068;Svandammsplan;59,3004427546;18,0024457231;A2;BUSTERM;7451247;Svandammsplan;59,3007014074;18,0030771439;0,0355376474
13069;13069;13070;Kilaberg;59,3048003193;18,0102776334;A2;BUSTERM;7451248;Kilaberg;59,3047574546;18,010152147;0,0069239859
