gtfsid,rt90-x,rt90-y
7400868,6473390,1478167.02
7400869,6484375.999,1483390.019
7400870,6504757.998,1521817.015
7400871,6411416.006,1468481.02
7400872,6495036,1544268.013
7400873,7329645.007,1594748.964
7400874,6766309.953,1467910.007
7400875,7435860.042,1751768.069
7400876,7536045.135,1702511.062
7400877,7325540.953,1834438.065
7400878,7609308.18,1773349.161
7400879,6431331.026,1249539.047
7400880,7435416.013,1817949.109
7400881,7429627.063,1583739.955
7400882,6784079.95,1464110.005
7400883,7461486.072,1709959.048
7400884,7532107.144,1635078.999
7400885,7477121.035,1826285.136
7400886,7514883.129,1570853.94
7400887,7321470.968,1795704.05
7400888,7418413.982,1855295.118
7400892,7467019.044,1795625.111
7400893,6325650.018,1649910.026
7400895,7329447.965,1811168.059
7400901,6359063.022,1675136.021
7400903,6657550.975,1514920.008
7400904,7520712.107,1746859.096
7400906,7376300.983,1814678.08
7400907,6397349.007,1531560.018
7400909,6347860.01,1575540.021
7400910,6375516.016,1639324.019
7400911,6280440.004,1540460.022
7400913,6392790.017,1648710.016
7400915,6357190.01,1577850.02
7400917,6364967.017,1644150.02
7400918,6378650.019,1658790.018
7400919,6426024.023,1697098.009
7400921,6399700.007,1543320.018
7400922,6410601.021,1677507.012
7400923,6337762.007,1513467.019
7400924,6463038.004,1377345.03
7400926,6420590.007,1552870.016
7400927,6338480.009,1571870.021
7400928,6266850.003,1535140.022
7400929,6301300.006,1496600.018
7400930,6337980.008,1539560.02
7400932,6253830.001,1511870.019
7400933,6354420.007,1486720.019
7400934,6198591.022,1324198.985
7400935,6217832.024,1323797.991
7400936,6180540.02,1325469.98
7400937,6171311.018,1328409.978
7400938,6173320.013,1345279.981
7400939,6191700.021,1326178.984
7400940,6144450.018,1312849.966
7400941,6180600.017,1334319.981
7400942,6174883.017,1332111.979
7400943,6235070.033,1298509.994
7400944,6146910.016,1319399.968
7400945,6188330.019,1331054.983
7400946,6149089.999,1381725.982
7400947,6175020.018,1327869.979
7400948,6244250.034,1295269.997
7400949,6168830.006,1367469.984
7400950,6146420.019,1312449.966
7400951,6171070.015,1336289.979
7400952,6199515.016,1349238.989
7400953,6159470.01,1346019.977
7400954,7116155.937,1746571.987
7400955,6201530.021,1331249.987
7400956,6179190.014,1345509.983
7400957,6169600.01,1354329.982
7400958,6152680.016,1323919.971
7400959,6228940.032,1299519.992
7400960,6173091.017,1330255.979
7400961,6186289.017,1339301.984
7400962,6377630.008,1446826.02
7400963,6375968.009,1433344.02
7400964,6390846.007,1468334.02
7400965,6308812.025,1331786.013
7400966,6355878.014,1384181.02
7400967,6389430.007,1472426.02
7400968,6391201.007,1459689.02
7400969,7213207.964,1588843.965
7400973,6403545.021,1677352.013
7400974,6384207.008,1441943.02
7400976,6294359.026,1325359.01
7400977,6416393.008,1400502.025
7400978,6550728.992,1295030.05
7400980,6545455.993,1295603.05
7400981,6371673.026,1302899.028
7400982,6497907.004,1299299.046
7400984,6538840.995,1298440.049
7400985,6402367.016,1339926.029
7400986,6500254.006,1278379.051
7400987,6569159.988,1288864.053
7400989,6527035.997,1303838.047
